Country,Temperature,Alcohol Consumption per Capita
Afghanistan,12.6,1
Albania,11.4,6.6
Algeria,22.5,0.6
Andorra,7.6,9.1
Angola,21.55,7.6
Antigua and Barbuda,26,3.2
Argentina,14.8,7.6
Armenia,7.15,5.5
Australia,21.65,12.6
Austria,6.35,8.5
Azerbaijan,11.95,2.1
Bahamas,24.85,4.2
Bahrain,27.15,2.4
Bangladesh,25,0.2
Barbados,26,6.5
Belarus,6.15,17.1
Belgium,9.55,10.8
Belize,25.3,8.3
Benin,27.55,2.2
Bhutan,7.4,1.1
Bolivia,21.55,5.8
Bosnia and Herzegovina,9.85,7.5
Botswana,21.5,7.7
Brazil,24.95,9.1
Brunei,26.85,0.8
Bulgaria,10.55,11.3
Burkina Faso,28.25,7.4
Burundi,19.8,9.8
Cambodia,26.8,6.1
Cameroon,24.6,7.7
Canada, −5.50,10.3
Cape Verde,23.3,7.2
Central African Republic,24.9,3.8
Chad,26.55,4.4
Chile,8.45,9.3
China,6.95,7.6
Colombia,24.5,6.6
Comoros,25.55,0.2
Costa Rica,24.8,5.1
Croatia,10.9,11.7
Cuba,25.2,5.5
Cyprus,18.45,9.1
Czech Republic,7.55,14.1
Denmark,7.5,10.2
Djibouti,28,0.9
Dominica,22.35,6.6
Dominican Republic,24.55,7.6
Ecuador,21.85,6.1
Egypt,22.1,0.3
El Salvador,24.45,3.5
Equatorial Guinea,24.55,8.1
Eritrea,25.5,1.4
Ethiopia,22.2,4.3
Fiji,24.4,3.2
Finland,1.7,11.9
France,10.7,11.6
Gabon,25.05,11.8
Gambia,27.5,3.2
Georgia,5.8,6.7
Germany,8.5,10.6
Ghana,27.2,5.4
Greece,15.4,9.3
Grenada,26.65,10.4
Guatemala,23.45,3.9
Guinea,25.7,0.7
Guinea-Bissau,26.75,4.3
Guyana,26,8.6
Haiti,24.9,5.9
Honduras,23.5,4
Hungary,9.75,12.4
Iceland,1.75,6.9
India,23.65,4.6
Indonesia,25.85,0.6
Iran,17.25,1
Iraq,21.4,0.5
Ireland,9.3,10.9
Israel,19.2,3.1
Italy,13.45,6.1
Jamaica,24.95,5.1
Japan,11.15,7.5
Jordan,18.3,0.7
Kazakhstan,6.4,8.2
Kenya,24.75,4
Kiribati,28.2,2.9
Kuwait,25.35,0.1
Kyrgyzstan,1.55,3.9
Laos,22.8,7.5
Latvia,5.6,10.6
Lebanon,16.4,2.2
Lesotho,11.85,6.4
Liberia,25.3,5.2
Libya,21.8,0
Lithuania,6.2,16.2
Luxembourg,8.65,11.2
Macedonia,9.8,5.7
Madagascar,22.65,1.9
Malawi,21.9,2.5
Malaysia,25.4,1.7
Maldives,27.65,1
Mali,28.25,1
Malta,19.2,7.2
Mauritania,27.65,0.1
Mauritius,22.4,4
Mexico,21,6.8
Moldova,9.45,17.4
Mongolia, −0.70,7.8
Montenegro,10.55,11.5
Morocco,17.1,0.7
Mozambique,23.8,2
Myanmar,13.05,0.7
Namibia,19.95,11.8
Nepal,8.1,2.1
Netherlands,9.25,9.6
New Zealand,10.55,11.2
Nicaragua,24.9,4.6
Niger,27.15,0.3
Nigeria,26.8,11.3
North Korea,5.7,4.4
Norway,1.5,7
Oman,25.6,0.9
Pakistan,20.2,0.1
Panama,25.4,7.7
Papua New Guinea,25.25,3.1
Paraguay,23.55,9.6
Peru,19.6,5.2
Philippines,25.85,5.6
Poland,7.85,11.5
Portugal,15.15,12.5
Qatar,27.15,1.3
Romania,8.8,12.9
Russia, −5.35,14.5
Rwanda,17.85,10
Saint Kitts and Nevis,24.5,7
Saint Lucia,25.5,10.4
Saint Vincent and the Grenadines,26.8,7.2
Saudi Arabia,24.65,0.2
Senegal,27.85,0.5
Serbia,10.55,12.9
Seychelles,27.15,6.7
Sierra Leone,26.05,8.2
Singapore,26.45,2.9
Slovakia,6.8,12.5
Slovenia,8.9,10.9
Solomon Islands,25.65,1.6
Somalia,27.05,0.5
South Africa,17.75,11.5
South Korea,11.5,10.9
Spain,13.3,10.6
Sri Lanka,26.95,4.5
Sudan,26.9,2.7
Suriname,25.7,6.5
Swaziland,21.4,6.4
Sweden,2.1,8.7
Switzerland,5.5,10.4
Syria,17.75,1.4
Tajikistan,2,2.4
Tanzania,22.35,8.1
Thailand,26.3,8.3
Togo,27.15,1.9
Tonga,25.25,2.1
Trinidad and Tobago,25.75,6.6
Tunisia,19.2,1.2
Turkey,11.1,2.4
Turkmenistan,15.1,5
Tuvalu,28,1.3
Uganda,22.8,10.5
Ukraine,8.3,11.8
United Arab Emirates,27,4.3
United Kingdom,8.45,12
United States,8.55,9
Uruguay,17.55,7
Uzbekistan,12.05,4.8
Vanuatu,23.95,1.2
Venezuela,25.35,8.3
Vietnam,24.45,8.7
Yemen,23.85,0.2
Zambia,21.4,4
Zimbabwe,21,4.8
country,temp,
Democratic Republic of the Congo,24,
Estonia,5.1,
Federated States of Micronesia,25.85,
Ivory Coast,26.35,
Liechtenstein,5.65,
Marshall Islands,27.4,
Monaco,13.55,
Palau,27.6,
Republic of the Congo,24.55,
Samoa,26.7,
San Marino,11.85,
São Tomé and Príncipe,23.75,
Timor-Leste,25.25,
